epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,5554.61,1.19452,8.44676,1.54348,0.16294,0.25578,0.13241,0.0756,1.33334,8.91203,1.87031,0.00333266,0.00333266,0.0700061
2,10278.8,1.23586,6.99767,1.55597,0.32502,0.32621,0.25344,0.13392,1.4483,7.14418,1.94771,0.00666559,0.00666559,0.0400057
3,4562.79,1.26969,6.63374,1.59657,0.29299,0.3431,0.25964,0.14646,1.37004,6.43457,1.88485,0.00999688,0.00999688,0.0100036
4,9331.02,1.27301,6.38517,1.60782,0.39033,0.35434,0.31716,0.17994,1.3358,5.57052,1.89913,0.0099945,0.0099945,0.0099945
5,13842.7,1.23648,5.97144,1.5812,0.49777,0.40546,0.3958,0.24041,1.25223,4.88375,1.79233,0.00999023,0.00999023,0.00999023
6,18442.2,1.20329,5.63158,1.55464,0.49756,0.44347,0.43638,0.27413,1.23069,4.35667,1.77418,0.00998474,0.00998474,0.00998474
7,6792.6,1.17795,5.3833,1.53242,0.49246,0.47621,0.45227,0.29336,1.12723,4.11026,1.63859,0.00997803,0.00997803,0.00997803
8,11423.7,1.15415,5.18557,1.51465,0.5648,0.49007,0.49493,0.31884,1.16166,3.86431,1.68081,0.00997011,0.00997011,0.00997011
9,16117.1,1.14361,5.03017,1.50495,0.566,0.50902,0.51355,0.34484,1.06081,3.67731,1.59237,0.00996097,0.00996097,0.00996097
10,21550.2,1.12716,4.88622,1.49317,0.57851,0.52644,0.53129,0.34938,1.12852,3.50974,1.64653,0.00995062,0.00995062,0.00995062
11,26937.2,1.12755,4.83758,1.4924,0.6122,0.55632,0.56024,0.36715,1.11792,3.41524,1.61934,0.00993906,0.00993906,0.00993906
12,32838.9,1.114,4.73834,1.48279,0.6475,0.54138,0.57593,0.39712,1.05841,3.22383,1.55856,0.00992629,0.00992629,0.00992629
13,38143.4,1.11339,4.6755,1.48205,0.62926,0.5793,0.60016,0.4213,1.02295,3.07628,1.53995,0.00991232,0.00991232,0.00991232
14,4901.68,1.09118,4.5197,1.46517,0.66611,0.57064,0.60802,0.43038,0.99739,3.01166,1.50732,0.00989715,0.00989715,0.00989715
